TIMESTAMP,PM2.5,PM10,TEMPERATURE,HUMIDITY,RH,WS,WD,SR,RF,AT,NO2,Ozone
2025-08-13 00:00:00,21.4,29.93,32.71,68.37,70.87,2.06,204.5,0.0,0.0,26.19,11.21,14.96
2025-08-13 01:00:00,21.4,29.93,32.71,68.37,70.82,1.47,234.78,0.0,0.0,26.13,11.04,14.61
2025-08-13 02:00:00,21.4,29.93,32.71,68.36,70.93,2.18,205.64,0.0,0.0,26.26,11.36,16.14
2025-08-13 03:00:00,21.4,29.93,32.71,68.36,71.05,1.73,207.66,0.0,0.2,26.39,15.19,14.63
2025-08-13 04:00:00,21.4,29.93,32.71,68.35,70.9,1.85,207.88,0.0,0.0,26.23,17.1,11.88
2025-08-13 05:00:00,21.4,29.93,32.71,68.34,70.87,1.82,160.31,0.0,0.0,26.2,19.7,12.37
2025-08-13 06:00:00,21.4,29.93,32.71,68.34,70.98,1.75,200.7,0.0,0.0,26.32,28.88,17.4
2025-08-13 07:00:00,21.4,29.93,32.7,68.33,71.03,1.91,190.52,0.5,0.0,26.38,24.03,20.41
2025-08-13 08:00:00,21.4,29.93,32.7,68.32,71.29,2.07,198.74,39.85,0.0,26.69,16.33,28.6
2025-08-13 09:00:00,21.4,29.93,32.7,68.32,71.87,2.1,188.72,129.35,0.0,27.36,14.2,30.8
2025-08-13 10:00:00,21.4,29.93,32.7,68.31,71.73,2.22,195.37,124.65,0.1,27.2,12.45,30.15
2025-08-13 11:00:00,21.4,29.93,32.7,68.31,72.34,2.19,182.95,127.3,0.0,27.93,10.71,41.92
2025-08-13 12:00:00,21.4,29.93,32.7,68.3,72.57,2.31,162.28,100.8,0.0,28.18,10.29,51.8
2025-08-13 13:00:00,21.4,29.93,32.7,68.29,72.43,2.29,208.48,101.9,0.2,28.02,11.88,55.78
2025-08-13 14:00:00,21.4,29.93,32.7,68.29,72.01,2.24,211.78,54.97,0.0,27.54,11.14,58.74
2025-08-13 15:00:00,21.4,29.93,32.7,68.28,71.71,2.2,209.27,26.05,0.1,27.18,11.67,59.1
2025-08-13 16:00:00,21.4,29.93,32.7,68.27,71.33,2.08,208.86,1.07,0.3,26.73,12.03,43.02
2025-08-13 17:00:00,21.4,29.93,32.7,68.27,70.9,1.64,165.81,0.0,0.0,26.22,11.69,35.97
