TIMESTAMP,PM2.5,PM10,TEMPERATURE,HUMIDITY,NO2,Ozone,CO,RH,WS,WD,SR,RF,AT
2025-12-01 00:00:00,131.65,220.32,22.96,64.74,38.19,1.2,0.97,60.63,0.96,145.86,0.0,0.0,23.32
2025-12-01 06:00:00,119.38,188.38,21.77,59.65,7.18,1.23,0.78,53.74,0.99,106.87,0.0,0.0,22.27
2025-12-01 07:00:00,164.5,266.87,22.78,53.86,34.6,1.11,0.82,51.26,1.18,99.24,29.9,0.0,22.97
2025-12-01 08:00:00,99.72,154.72,24.84,46.29,24.78,4.7,0.9,42.94,1.23,95.07,192.75,0.0,25.62
2025-12-01 09:00:00,70.96,106.65,26.57,39.77,2.27,11.49,0.86,37.69,1.35,101.83,374.5,0.0,27.57
2025-12-01 11:00:00,78.29,122.17,28.65,37.51,0.33,35.97,0.73,29.76,1.13,99.36,618.02,0.0,31.32
2025-12-01 20:00:00,164.87,266.93,24.92,65.72,7.68,11.59,0.57,66.22,0.96,189.24,0.0,0.0,23.91
2025-12-01 21:00:00,132.56,219.1,24.85,63.39,26.29,1.16,0.77,67.29,0.93,281.35,0.0,0.0,23.7
2025-12-01 22:00:00,210.02,367.01,23.98,66.74,36.2,0.83,1.0,66.82,0.98,290.64,0.0,0.0,23.31
2025-12-01 23:00:00,142.15,230.68,23.37,66.62,33.9,0.91,1.12,67.32,0.97,225.4,0.0,0.0,23.06
2025-12-02 00:00:00,125.18,202.23,22.96,69.69,53.43,0.86,1.11,69.66,0.96,297.32,0.0,0.0,22.64
2025-12-02 01:00:00,113.51,180.95,22.69,70.79,51.87,0.81,1.25,70.87,0.98,323.61,0.0,0.0,22.41
2025-12-02 02:00:00,98.0,152.62,22.45,70.64,25.37,1.37,1.33,70.72,0.85,332.89,0.0,0.0,22.23
2025-12-02 07:00:00,139.59,224.79,22.47,70.98,30.37,1.17,0.94,65.84,0.89,82.78,19.0,0.0,21.94
2025-12-02 08:00:00,115.12,182.17,24.44,60.4,15.64,1.63,0.93,46.56,0.95,86.14,185.57,0.0,26.04
2025-12-02 09:00:00,80.06,122.44,27.06,45.37,4.51,5.59,0.85,36.79,1.07,93.6,342.75,0.0,28.68
2025-12-02 10:00:00,71.13,107.82,28.8,40.79,4.29,9.88,0.79,34.71,0.9,77.15,472.73,0.0,30.24
2025-12-02 11:00:00,81.02,125.58,29.09,41.45,2.12,15.47,0.68,30.86,0.88,82.39,373.33,0.0,31.44
2025-12-02 12:00:00,77.85,120.46,29.6,39.7,0.37,26.06,0.61,30.84,1.08,90.18,454.02,0.0,31.62
2025-12-02 13:00:00,75.53,115.74,30.14,40.01,0.16,38.05,0.52,27.38,0.64,60.03,502.55,0.0,32.77
2025-12-02 14:00:00,73.9,113.25,30.49,38.15,0.33,37.19,0.42,26.67,0.49,71.57,347.25,0.0,32.68
2025-12-02 21:00:00,134.49,216.04,25.4,67.67,41.79,1.25,0.7,69.94,0.93,294.22,0.0,0.0,24.27
2025-12-02 22:00:00,154.69,253.98,24.77,70.91,44.09,0.84,0.9,69.59,0.96,286.47,0.0,0.0,23.93
