TIMESTAMP,PM2.5,PM10,TEMPERATURE,HUMIDITY,Ozone,RH,WS,WD,SR,RF,AT
2025-12-01 00:00:00,92.01,156.11,24.35,63.19,1.2,60.63,0.96,145.86,0.0,0.0,23.32
2025-12-01 01:00:00,96.57,164.55,24.24,62.7,1.85,56.44,1.01,98.04,0.0,0.0,23.97
2025-12-01 02:00:00,82.28,141.13,23.95,61.23,2.23,57.06,0.84,104.93,0.0,0.0,23.27
2025-12-01 03:00:00,75.19,129.93,23.5,61.03,2.25,56.8,0.72,85.6,0.0,0.0,22.61
2025-12-01 04:00:00,79.08,135.16,23.42,59.54,0.93,56.16,0.57,138.53,0.0,0.0,22.31
2025-12-01 05:00:00,95.61,162.99,23.28,57.88,2.05,53.53,1.1,100.17,0.0,0.0,22.41
2025-12-01 06:00:00,97.05,167.31,22.98,59.05,1.23,53.74,0.99,106.87,0.0,0.0,22.27
2025-12-01 07:00:00,97.55,168.08,23.23,60.03,1.11,51.26,1.18,99.24,29.9,0.0,22.97
2025-12-01 08:00:00,84.31,144.0,26.76,49.78,4.7,42.94,1.23,95.07,192.75,0.0,25.62
2025-12-01 09:00:00,77.5,131.2,30.77,40.82,11.49,37.69,1.35,101.83,374.5,0.0,27.57
2025-12-01 10:00:00,72.47,121.55,34.82,33.27,22.93,32.17,1.2,63.17,534.33,0.0,29.79
2025-12-01 11:00:00,76.08,125.01,36.92,30.61,35.97,29.76,1.13,99.36,618.02,0.0,31.32
2025-12-01 12:00:00,66.16,106.99,40.88,22.77,53.42,24.89,0.44,244.19,647.95,0.0,33.11
2025-12-01 13:00:00,62.5,100.91,42.95,21.93,73.36,25.5,0.67,236.51,582.08,0.0,32.98
2025-12-01 14:00:00,60.05,97.74,41.23,29.49,84.69,35.48,1.15,140.2,378.08,0.0,31.12
2025-12-01 15:00:00,58.88,96.99,34.32,39.85,70.87,42.24,1.09,286.6,150.72,0.0,29.84
2025-12-01 16:00:00,56.28,94.11,31.25,43.59,60.15,42.3,1.01,282.36,41.98,0.0,29.02
2025-12-01 17:00:00,59.72,101.79,29.14,51.45,52.69,49.02,0.94,282.72,5.0,0.0,27.54
2025-12-01 18:00:00,66.79,115.8,27.14,60.52,44.52,60.8,0.87,249.83,0.0,0.0,25.56
2025-12-01 19:00:00,74.87,129.08,26.11,64.24,39.8,63.73,0.88,262.06,0.0,0.0,24.62
2025-12-01 20:00:00,79.11,137.02,25.58,66.2,11.59,66.22,0.96,189.24,0.0,0.0,23.91
2025-12-01 21:00:00,87.9,152.51,25.47,65.57,1.16,67.29,0.93,281.35,0.0,0.0,23.7
2025-12-01 22:00:00,88.69,152.05,25.14,64.82,0.83,66.82,0.98,290.64,0.0,0.0,23.31
2025-12-01 23:00:00,94.77,161.63,24.95,65.96,0.91,67.32,0.97,225.4,0.0,0.0,23.06
2025-12-02 00:00:00,91.57,157.6,24.48,67.25,0.86,69.66,0.96,297.32,0.0,0.0,22.64
2025-12-02 01:00:00,98.47,169.63,24.12,69.24,0.81,70.87,0.98,323.61,0.0,0.0,22.41
2025-12-02 02:00:00,95.57,164.1,23.87,71.11,1.37,70.72,0.85,332.89,0.0,0.0,22.23
2025-12-02 03:00:00,94.75,163.34,23.56,70.33,1.01,71.12,0.71,247.54,0.0,0.0,21.86
2025-12-02 04:00:00,90.52,157.09,23.32,69.34,0.59,67.88,0.71,88.88,0.0,0.0,22.05
2025-12-02 05:00:00,85.4,148.41,23.27,68.96,0.43,67.86,0.71,241.68,0.0,0.0,21.84
2025-12-02 06:00:00,80.06,138.09,23.11,68.03,0.68,71.99,0.85,309.88,0.0,0.0,21.09
2025-12-02 07:00:00,88.89,155.14,23.68,67.24,1.17,65.84,0.89,82.78,19.0,0.0,21.94
2025-12-02 08:00:00,70.82,120.57,27.5,51.16,1.63,46.56,0.95,86.14,185.57,0.0,26.04
2025-12-02 09:00:00,71.06,120.76,31.34,41.55,5.59,36.79,1.07,93.6,342.75,0.0,28.68
2025-12-02 10:00:00,72.14,121.92,34.39,36.17,9.88,34.71,0.9,77.15,472.73,0.0,30.24
2025-12-02 11:00:00,74.02,124.56,35.67,33.4,15.47,30.86,0.88,82.39,373.33,0.0,31.44
2025-12-02 12:00:00,71.72,119.7,37.34,31.16,26.06,30.84,1.08,90.18,454.02,0.0,31.62
2025-12-02 13:00:00,60.93,99.46,40.23,26.57,38.05,27.38,0.64,60.03,502.55,0.0,32.77
2025-12-02 14:00:00,59.15,96.31,40.65,24.9,37.19,26.67,0.49,71.57,347.25,0.0,32.68
2025-12-02 15:00:00,58.9,96.42,34.81,30.26,38.66,26.68,0.36,128.84,162.95,0.0,31.99
2025-12-02 16:00:00,55.7,92.9,32.18,34.49,40.75,29.96,0.49,245.06,68.97,0.0,30.99
2025-12-02 17:00:00,64.48,110.52,29.5,53.73,37.81,53.25,0.89,274.39,9.32,0.0,28.24
2025-12-02 18:00:00,72.49,125.99,27.49,62.41,34.93,64.16,0.8,260.69,0.0,0.0,25.8
2025-12-02 19:00:00,84.4,147.39,26.63,64.77,22.95,64.38,0.92,277.97,0.0,0.0,25.07
2025-12-02 20:00:00,86.09,148.99,26.23,65.06,7.58,65.78,0.93,288.82,0.0,0.0,24.58
2025-12-02 21:00:00,96.48,169.19,25.92,68.48,1.25,69.94,0.93,294.22,0.0,0.0,24.27
2025-12-02 22:00:00,96.09,168.42,25.73,67.53,0.84,69.59,0.96,286.47,0.0,0.0,23.93
2025-12-02 23:00:00,97.86,170.47,25.29,67.46,0.57,69.95,0.97,292.87,0.0,0.0,23.5
2025-12-03 00:00:00,95.79,166.55,24.77,69.01,0.59,71.07,0.95,225.15,0.0,0.0,23.03
2025-12-03 01:00:00,95.72,166.67,24.28,70.15,0.64,72.45,0.9,231.27,0.0,0.0,22.6
2025-12-03 02:00:00,92.76,162.48,23.92,70.32,0.43,72.96,0.93,309.94,0.0,0.0,22.08
2025-12-03 03:00:00,89.36,156.78,23.53,71.72,0.3,76.25,0.92,317.92,0.0,0.0,21.72
2025-12-03 04:00:00,88.6,157.02,23.56,69.02,0.35,75.72,0.73,222.47,0.0,0.0,21.65
2025-12-03 05:00:00,85.11,151.32,23.42,66.63,0.99,59.55,1.07,97.69,0.0,0.0,22.82
2025-12-03 06:00:00,80.24,141.45,23.5,63.0,0.39,59.43,0.71,101.79,0.0,0.0,22.41
2025-12-03 07:00:00,82.04,146.3,24.05,60.52,0.83,53.38,1.19,98.76,22.15,0.0,23.3
2025-12-03 08:00:00,79.89,139.91,26.69,52.36,2.52,45.53,1.17,71.74,139.17,0.0,25.36
2025-12-03 09:00:00,75.62,133.26,30.88,42.74,9.47,38.95,1.29,66.87,320.8,0.0,27.83
2025-12-03 10:00:00,78.85,136.51,34.2,37.65,10.86,37.08,1.19,94.71,476.95,0.0,29.83
2025-12-03 11:00:00,78.54,134.94,36.45,35.48,26.96,35.49,1.36,99.49,561.05,0.0,30.85
2025-12-03 12:00:00,75.22,126.92,39.65,31.4,36.39,33.86,1.13,64.13,581.27,0.0,32.31
2025-12-03 13:00:00,72.01,119.64,41.73,27.85,53.31,30.74,0.76,154.1,531.58,0.0,33.18
2025-12-03 14:00:00,64.34,106.63,40.75,27.05,52.0,29.9,0.35,139.74,313.38,0.0,32.99
2025-12-03 15:00:00,60.8,102.56,34.73,33.75,43.36,31.37,0.25,167.41,127.65,0.0,32.24
2025-12-03 16:00:00,61.85,106.22,32.66,38.08,32.95,35.3,0.36,251.36,52.8,0.0,31.06
2025-12-03 17:00:00,61.97,106.28,30.49,42.81,19.93,39.47,0.87,270.74,7.67,0.0,29.0
2025-12-03 18:00:00,69.07,118.83,28.45,50.42,4.46,50.54,0.93,284.01,0.0,0.0,26.98
2025-12-03 19:00:00,79.7,138.53,27.61,56.79,2.99,57.03,0.99,268.49,0.0,0.0,26.07
2025-12-03 20:00:00,81.44,141.76,27.41,56.42,0.85,55.47,0.9,210.44,0.0,0.0,25.73
2025-12-03 21:00:00,84.51,148.36,26.81,58.21,0.82,57.26,0.55,275.57,0.0,0.0,25.26
